Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
PVH,PVH Corp.,108.68,-31.05,-22.22%,6.719M,905155,6.27B,12.94,null
OROVF,Orient Overseas (International) Limited,12.61,-3.56,-22.02%,29036,752,8.327B,6.09,null
HUM,Humana Inc.,304.33,-47.12,-13.41%,9.505M,2.121M,36.687B,15.22,null
AGL,"agilon health, inc.",5.08,-0.76,-13.01%,4.747M,6.232M,2.08B,null,null
QDEL,QuidelOrtho Corporation,42.15,-4.85,-10.32%,2.389M,1.062M,2.818B,null,null
FLNC,"Fluence Energy, Inc.",15.7,-1.72,-9.87%,2.57M,2.472M,2.805B,null,null
CLSK,"CleanSpark, Inc.",16.83,-1.75,-9.42%,29.336M,36.238M,3.333B,null,null
MARA,"Marathon Digital Holdings, Inc.",19.73,-1.9,-8.78%,34.541M,80.733M,5.281B,18.61,null
KNSL,"Kinsale Capital Group, Inc.",467.85,-44.8,-8.74%,364994,179793,10.849B,35.44,null
ALVO,Alvotech,11.4,-1.07,-8.58%,261865,316847,3.187B,null,null
UWMC,UWM Holdings Corporation,6,-0.56,-8.54%,7.124M,1.541M,9.579B,null,null
NCLH,Norwegian Cruise Line Holdings Ltd.,19.26,-1.68,-8.02%,14.761M,12.022M,8.198B,49.38,null
RUN,Sunrun Inc.,11.72,-1.02,-8.01%,8.408M,14.969M,2.574B,null,null
LGIH,"LGI Homes, Inc.",105.36,-9.08,-7.93%,331399,185024,2.484B,12.51,null
APGE,"Apogee Therapeutics, Inc.",59.9,-5.15,-7.92%,1.476M,682127,3.501B,null,null
NTLA,"Intellia Therapeutics, Inc.",25.1,-2.12,-7.79%,1.894M,1.579M,2.412B,null,null
LEVI,Levi Strauss & Co.,18.74,-1.56,-7.68%,5.651M,1.952M,7.459B,30.23,null
RIOT,"Riot Platforms, Inc.",10.61,-0.86,-7.50%,19.637M,26.859M,2.69B,null,null
ARWR,"Arrowhead Pharmaceuticals, Inc.",26.19,-2.05,-7.26%,1.212M,1.547M,3.245B,null,null
RH,RH,310.58,-24.17,-7.22%,1.526M,643172,5.688B,52.64,null
CVS,CVS Health Corporation,73.82,-5.74,-7.21%,23.627M,11.574M,92.899B,11.41,null
WOLF,"Wolfspeed, Inc.",27.75,-2.15,-7.19%,3.689M,4.814M,3.491B,null,null
SATS,EchoStar Corporation,13.04,-1,-7.12%,1.801M,2.499M,3.541B,null,null
NXT,Nextracker Inc.,52.34,-3.86,-6.87%,4.244M,4.331M,7.573B,25.78,null
CNC,Centene Corporation,72.45,-5.3,-6.82%,5.832M,3.011M,38.751B,14.64,null
